"Geographic area","Time period","Sex","Adjusted net attendance rate, one year before the official primary entry age","Adjusted net attendance rate for children of primary school age","Adjusted net attendance rate for adolescents of lower secondary school age","Adjusted net attendance rate for youth of upper secondary school age","Completion rate for children of primary school age","Completion rate for adolescents of lower secondary school age","Completion rate for youth of upper secondary education school age","Out-of-school rate for children of primary school age","Out-of-school rate for adolescents of lower secondary school age","Out-of-school rate for youth of upper secondary school age","Out-of-school rate for youth of upper secondary school age (administrative data)","Youth literacy rate for 15-24 years","Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading","Out-of-school rate for children one year younger than official entry age (administrative data)","Out-of-school rate for children of primary school age (administrative data)","Out-of-school rate for adolescents of lower secondary school age (administrative data)","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading","Proportion of students at the end of primary achieving at least a minimum proficiency level in reading"
"Barbados","2012","Total","67.536682","99.468857","88.900002","82","98.900002","98","93.900002","0.5","1.175126","0.62935549","-","-","-","-","-","-","-","-","-","-","-"
"Belarus","2020","Female","93.73967","93.706253","95.595154","85.628403","100","98.784286","98.489067","0.0241083","0.31680471","0.7660588","4.58753","-","-","-","-","3.55388","6.02934","-","-","-","-"
"Belarus","2020","Male","94.208748","92.922379","91.244667","88.353638","99.864349","98.814774","97.82029","0.13570841","0","0.72732079","7.7514","-","-","-","-","0.42219","4.50552","-","-","-","-"
"Belarus","2020","Total","93.977028","93.287956","93.276657","86.753616","99.932289","98.800743","98.108932","0.0836608","0.14797039","0.75006419","6.21312","-","-","-","-","1.94003","5.24426","0.14013","-","-","-"
"Belarus","2019","Female","-","-","-","-","-","-","-","-","-","-","-","99.89983","-","-","-","-","-","-","73","85","-"
"Belarus","2019","Male","-","-","-","-","-","-","-","-","-","-","-","99.84713","-","-","-","-","-","-","72","80","-"
"Belarus","2019","Total","-","-","-","-","-","-","-","-","-","-","-","99.87283","-","-","-","-","-","-","73","82","-"
"Belarus","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","70.2907","82.04097","-","-","0.81306","-","-","-"
"Belarus","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","70.95741","71.55866","-","-","1.28882","-","-","-"
"Belarus","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","70.63742","76.58973","-","-","-","-","-","-"
"Belgium","2019","Female","-","-","-","-","-","-","-","-","-","-","1.96315","-","-","-","-","3.24981","0.46626","0.16931","-","-","-"
"Belgium","2019","Male","-","-","-","-","-","-","-","-","-","-","2.2207","-","-","-","-","4.26813","1.29645","0.48752","-","-","-"
"Belgium","2019","Total","-","-","-","-","-","-","-","-","-","-","2.09523","-","80","-","-","3.77386","0.89266","0.33254","-","-","-"
"Belgium","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","78.98485","82.18898","-","-","-","-","-","-"
"Belgium","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","81.69979","75.28248","-","-","-","-","-","-"
"Belgium","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","80.33807","78.74654","-","-","-","-","-","-"
"Belgium","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.42"
"Belize","2020","Female","-","-","-","-","-","-","-","-","-","-","27.73354","-","-","-","-","16.13648","-","16.0596","-","-","-"
"Belize","2020","Male","-","-","-","-","-","-","-","-","-","-","34.78694","-","-","-","-","14.99118","-","14.46601","-","-","-"
"Belize","2020","Total","-","-","-","-","-","-","-","-","-","-","31.28569","-","-","-","-","15.55866","0.15125","15.2496","-","-","-"
"Belize","2016","Female","-","96","-","-","96","65.5","50.700001","2","8.5","35.099998","-","-","-","-","-","-","-","-","-","-","-"
"Belize","2016","Male","-","95.699997","-","-","94.800003","54.799999","47.5","2.3","9.6999998","30.4","-","-","-","-","-","-","-","-","-","-","-"
"Belize","2016","Total","-","95.800003","-","-","95.400002","60.299999","49.200001","2.2","9.1999998","32.700001","-","-","-","-","-","-","-","-","-","-","-"
"Belize","2014","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.64405","-","-","-","-"
"Belize","2014","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.52959","-","-","-","-"
"Belize","2011","Female","26.581579","-","30.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Belize","2011","Male","25.69079","-","26.799999","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Belize","2011","Total","26.15794","-","28.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Benin","2020","Female","-","-","-","-","-","-","-","-","-","-","68.90571","-","-","-","-","-","9.6247","46.17726","-","-","-"
"Benin","2020","Male","-","-","-","-","-","-","-","-","-","-","58.68436","-","-","-","-","-","3.90597","38.07798","-","-","-"
"Benin","2020","Total","-","-","-","-","-","-","-","-","-","-","63.73174","-","-","-","-","-","6.72457","42.0731","-","-","-"
"Benin","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","19.1","-","-","-","-","-","62","37.7","45.5"
"Benin","2018","Female","47","65.099998","28.1","9","44.196468","13.41031","5.4404368","34.700001","46.799999","66.099998","-","51.94362","-","-","-","15.56789","-","-","-","-","-"
"Benin","2018","Male","49.099998","71.400002","32.5","14.8","51.01598","25.0865","12.06018","28.299999","36.200001","49.900002","-","69.76118","-","-","-","14.84127","-","-","-","-","-"
"Benin","2018","Total","48.099998","68.300003","30.4","11.8","47.672329","18.63559","8.4086723","31.5","41.400002","58.400002","-","60.94808","-","-","-","15.1992","-","-","-","-","-"
"Benin","2014","Female","-","-","-","-","-","-","-","-","-","-","-","-","10.21","-","-","-","-","-","36.67","8.77","20.31"
"Benin","2014","Male","-","-","-","-","-","-","-","-","-","-","-","-","9.21","-","-","-","-","-","31.36","8.88","26.05"
"Bhutan","2020","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","58.74439","2.20498","-","-","-","-"
"Bhutan","2020","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","58.4645","5.05943","-","-","-","-"
"Bhutan","2020","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","58.60211","3.65422","-","-","-","-"
"Bhutan","2018","Female","-","-","-","-","-","-","-","-","-","-","22.34422","-","-","-","-","-","-","5.84736","-","-","-"
"Bhutan","2018","Male","-","-","-","-","-","-","-","-","-","-","32.77808","-","-","-","-","-","-","17.99222","-","-","-"
"Bhutan","2018","Total","-","-","-","-","-","-","-","-","-","-","27.71668","-","-","-","-","-","-","12.01717","-","-","-"
"Bhutan","2012","Female","-","94.800003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bhutan","2012","Male","-","95.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bhutan","2012","Total","-","95.199997","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bhutan","2010","Female","47.212879","-","53.900002","25.700001","70.800003","37.599998","17.700001","7.0999999","18.359541","40.069839","-","-","-","-","-","-","-","-","-","-","-"
"Bhutan","2010","Male","54.39397","-","51.599998","21.799999","66.5","40.5","25.1","8.6000004","20.152599","38.692711","-","-","-","-","-","-","-","-","-","-","-"
"Bhutan","2010","Total","50.784081","-","52.799999","23.700001","68.599998","38.900002","21.1","7.9000001","19.222851","39.37796","-","-","-","-","-","-","-","-","-","-","-"
"Bolivia (Plurinational State of)","2020","Female","-","-","-","-","-","-","-","-","-","-","21.50324","99.52896","-","-","-","6.81934","4.69231","11.46017","-","-","-"
"Bolivia (Plurinational State of)","2020","Male","-","-","-","-","-","-","-","-","-","-","22.11464","99.58474","-","-","-","7.0971","5.0999","11.71913","-","-","-"
"Bolivia (Plurinational State of)","2020","Total","-","-","-","-","-","-","-","-","-","-","21.81521","99.55659","-","-","-","6.96126","4.9005","11.59237","-","-","-"
"Bolivia (Plurinational State of)","2016","Female","72.359291","95.669243","71.730637","75.37719","93.387756","81.559921","65.402481","2.7986879","4.1932659","11.5795","-","-","-","-","-","-","-","-","-","-","-"
"Bolivia (Plurinational State of)","2016","Male","64.950363","95.315933","71.719261","71.19976","91.487007","84.253906","66.120232","2.768374","4.1562142","10.16909","-","-","-","-","-","-","-","-","-","-","-"
"Bolivia (Plurinational State of)","2016","Total","68.700958","95.484772","71.724739","73.185493","92.354889","82.905907","65.755737","2.78286","4.174078","10.83952","-","-","-","-","-","-","-","-","-","-","-"
